AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Age,Complain,Education,Income,Kidhome,Marital_Status,MntFishProducts,MntFruits,MntGoldProds,MntMeatProducts,MntSweetProducts,MntWines,NumCatalogPurchases,NumDealsPurchases,NumStorePurchases,NumWebPurchases,NumWebVisitsMonth,Recency,Teenhome,Time_Customer
0,0,0,0,0,39,0,Graduation,26646,1,Together,10,4,5,20,3,11,0,2,4,2,6,26,0,9.076161728166904
0,0,0,0,0,77,0,Graduation,37760,0,Together,150,5,28,38,12,84,1,2,6,4,7,20,0,10.521776627856834
0,0,0,0,0,38,0,Master,20559,1,Married,3,1,7,29,0,13,0,2,3,2,8,88,0,9.993360575508053
0,0,0,0,0,66,0,Graduation,65486,0,Widow,37,19,14,125,67,245,2,1,10,4,2,29,1,8.827012190530949
0,0,0,0,0,59,0,Master,79143,0,Married,27,37,32,780,167,650,9,1,13,6,3,2,0,10.576534767996606
0,0,1,0,0,58,0,Graduation,56046,0,Together,0,0,51,64,0,577,1,2,8,10,8,9,0,10.182276158990259
0,0,0,0,0,60,0,Master,38620,0,Together,34,17,89,44,22,112,5,1,3,2,3,56,0,9.829086155088742
0,0,0,0,0,51,0,Graduation,51813,1,Divorced,0,2,2,7,1,51,0,2,3,2,7,37,1,9.911223365298397
0,0,0,0,0,44,0,Basic,24594,1,Together,10,3,9,6,0,1,0,1,3,1,5,94,0,9.245911962600191
0,0,0,0,0,45,0,Graduation,38557,1,Single,4,3,27,31,4,76,1,2,3,3,7,17,0,10.220606857088098
0,0,0,0,0,61,0,Graduation,50785,1,Single,0,1,27,21,1,64,1,2,3,2,6,27,1,9.495061500236144
0,0,0,0,0,70,0,Master,56129,0,Together,39,48,48,133,72,320,2,4,10,6,4,65,1,9.719569874809203
0,0,0,0,0,51,0,2n Cycle,46344,0,Together,8,20,91,57,20,233,1,4,5,7,7,28,1,10.234296392123042
0,0,0,0,0,65,0,Master,30523,2,Single,0,0,5,3,0,5,0,1,2,1,7,0,1,9.689452897732329
0,0,0,0,0,71,0,Graduation,51537,0,Divorced,0,20,92,204,0,787,2,3,11,2,8,27,1,10.247985927157984
0,0,0,0,0,53,0,Graduation,22070,1,Together,8,7,21,19,2,10,2,2,2,2,6,11,0,9.42935173206842
0,0,0,0,0,67,0,Graduation,60714,0,Single,101,162,162,224,92,216,4,2,10,7,5,56,0,10.141207553885433
0,0,0,0,0,49,0,Graduation,30631,1,Married,4,6,20,20,5,15,1,1,2,3,7,75,0,9.659335920655455
0,0,0,0,0,51,0,Graduation,30675,1,Married,11,2,21,16,2,10,0,1,3,1,8,14,0,10.321909416346674
0,0,0,0,1,124,0,PhD,83532,0,Together,104,144,224,562,64,755,6,1,4,4,1,36,0,9.451254988124328
0,0,0,1,0,68,0,Graduation,50737,0,Married,0,0,10,11,0,78,0,1,4,2,6,61,1,9.829086155088742
0,0,0,0,0,80,1,Master,65073,0,Married,69,17,8,177,0,629,3,1,5,5,2,65,0,9.552557547382904
0,0,0,0,0,48,0,Master,46098,1,Single,0,0,36,27,0,57,2,4,2,3,8,86,1,10.557369418947685
0,0,0,0,0,63,0,Graduation,63381,0,Together,33,50,159,142,50,571,5,4,13,4,2,78,1,10.425949882612237
0,0,0,0,0,51,0,PhD,27213,1,Single,10,3,3,26,9,19,0,3,4,2,8,19,0,10.524514534863822
1,0,0,1,0,34,0,Graduation,75433,1,Married,0,0,57,297,34,800,5,2,10,2,6,28,0,8.928314749789523
0,0,0,0,0,34,0,2n Cycle,10404,1,Together,10,2,12,11,6,2,0,2,4,1,5,52,0,8.848915446586856
0,0,0,0,0,34,0,Graduation,28691,1,Married,8,4,4,13,0,5,0,1,3,1,8,56,0,9.681239176711363
0,0,0,0,0,47,0,Graduation,65991,0,Married,25,19,9,364,47,507,5,3,10,9,7,21,1,10.502611278807915
0,0,0,0,0,53,0,Graduation,31880,1,Widow,2,1,3,5,0,4,0,1,2,1,8,13,0,10.354764300430537
0,0,0,0,0,59,0,Graduation,85620,0,Widow,60,46,46,925,107,416,6,1,4,3,1,68,0,9.169250566404513
0,0,0,0,0,55,0,PhD,38443,1,Married,0,0,1,5,0,32,0,2,3,1,7,58,1,9.114492426264741
0,0,0,0,0,57,0,Master,49618,1,Together,4,3,14,26,2,80,1,4,3,3,7,77,1,10.116566390822536
0,0,0,0,0,58,0,Master,55250,0,Single,32,58,66,83,0,664,5,4,10,7,5,49,1,10.38214337050042
0,0,0,0,0,72,0,PhD,78939,0,Married,150,115,205,243,0,794,5,1,6,8,3,57,0,9.240436148586213
0,0,0,0,0,53,0,Graduation,20587,1,Single,4,3,9,6,1,2,1,1,2,1,7,39,0,8.829750097537937
